run,ped,sig,nPE,onePEsig,mu
132,877.19,122.82,172.97,0.189712,1.720587
133,877.26,225.81,172.13,0.196526,1.686319
134,876.40,227.83,173.67,0.121087,1.460047
135,877.31,226.06,172.31,0.190562,1.688180
136,876.50,132.60,186.74,0.212267,1.713054
137,862.02,161.58,227.56,0.129356,1.485972
139,877.19,302.63,167.75,0.192776,1.776526
140,877.54,401.09,inf,0.188793,1.738197
141,876.33,126.55,178.22,0.154359,1.679400
142,876.93,122.48,172.50,0.184674,1.546104
143,876.68,154.42,217.47,0.174540,1.570930
144,876.60,162.55,228.93,0.172907,1.779005
145,876.32,159.34,224.41,0.178120,1.533059
146,876.62,140.07,197.27,0.197300,0.671720
149,876.99,143.63,202.27,0.162968,0.308565
150,876.74,147.25,207.37,0.175520,1.073113
151,876.71,125.88,177.28,0.180251,1.621702
152,876.53,114.19,160.82,0.181093,1.584633
154,879.54,133.64,188.21,0.244435,1.038820
155,876.67,115.24,162.29,0.062476,1.356265
180,1800,250
181,1800,250
182,1299,250
188,1299.39,186.31,262.38,0.224316,0.443667
189,1299.43,206.51,290.84,0.167088,0.619483
190,1298,
191,1298,
192,1299.45,190.78,268.68,0.145583,0.707984
193,1299.38,179.48,252.76,0.155555,0.713296
194,1299.56,329.28,251.00,0.149274,0.665293
195,1298,
196,1299.38,191.03,269.03,0.158333,0.682673
197,1299.34,190.08,267.69,0.159825,0.765829
198,1299.46,211.60,298.01,0.153897,0.671554
199,1299.33,226.84,319.46,0.147984,0.673139
200,1299.30,236.45,333.01,0.149478,0.619956
201,1299.27,235.22,331.27,0.152169,0.647684
202,1299.47,233.30,328.56,0.172642,0.635762
203,1299.29,236.44,332.98,0.157527,0.594180
204,1299.31,219.32,308.87,0.192655,0.445578
205,1298.62,220.00,309.83,0.067420,0.489152
206,1298,
207,1298,
208,1298,
209,1298,
210,1299.56,179.39,252.64,0.178502,0.309988
211,1299.53,178.87,251.90,0.180556,0.334860
212,1298,
213,1298,
214,1298,
215,1298,
216,1298,
217,1298,
218,1298,
219,1298,
220,1298,
221,1298,
223,1299.28,82.33,45.64,0.176976,0.415233
225,1299,
239,1298.62,80.00,44.34,0.111803,0.218551
245,1299.32,80.34,44.54,0.129452,0.306531
246,1299.91,77.81,43.13,0.100164,0.152697
247,1299.92,82.21,45.57,0.165981,0.724913
249,1299.80,84.34,46.75,0.173043,1.948497
250,1299.75,80.00,44.34,0.111803,1.000000
251,1299.80,85.95,47.64,0.171914,0.111178
252,1298.62,75.00,41.57,0.115470,0.071817
253,1299.84,81.54,45.20,0.178792,0.704834
254,1299.78,81.48,45.16,0.174433,0.687135
255,1299.56,82.15,45.54,0.170093,0.644450
256,1299.69,84.15,46.64,0.177401,0.636628
257,1299.67,83.77,46.43,0.171097,0.639452
258,1299.48,82.60,45.79,0.213289,0.720781
259,1299.74,83.88,46.49,0.172177,0.702796
260,1299.71,79.33,43.98,0.179585,0.698350
261,1299.75,76.43,42.36,0.181632,0.642972
262,1299.75,74.16,41.11,0.179238,0.752618
263,1299,
264,1299.63,82.66,45.82,0.175322,0.641044
265,1299.46,78.12,43.30,0.172748,0.674904
266,1299.29,72.20,40.02,0.186076,0.687909
267,1299,
268,1299.49,83.55,46.31,0.173190,0.674171
269,1299.13,62.99,48.01,0.170934,0.667403
270,1298.91,34.86,49.10,0.179100,0.783816
272,1299,
273,1299,
274,1299,
275,1298.89,261.79,513.17,0.417558,0.653092
285,1299,900
286,1299
287,1299,900
288,1299,1300
289,1299,650
290,1298.17,618.20,1680.41,0.273501,1.103713
291,1298.11,709.27,1927.97,0.252249,0.465187
292,1298.17,55.55,78.23,0.142835,0.580264
293,1299
294,1299
295,1299
296,1299
297,1297.70,29.07,79.03,0.151766,0.609965
299,1298.15,300.27,816.20,0.492058,0.716690
300,1299,350
301,1299
302,1299,600
317,1299,1200
318,1299,600
319,1299
320,1299,600
321,1299
322,1299
323,1299,900
324,1299,400
325,1299,600
326,1299
327,1299
328,1299,750
329,1299
330,1299
331,1297.98,495.89,inf,0.176321,0.652069
332,1299
333,1299
334,1298.49,558.66,3081.81,0.139435,0.637651
335,1298.37,543.67,2999.10,0.142416,0.583925
337,1298.68,570.74,3148.44,0.151670,0.597126
338,1298.49,471.93,inf,0.172408,0.604194
340,1299
344,1299.09,418.76,4509.32,0.121373,1.440848
345,1298.88,437.28,4708.67,0.146144,1.258261
346,1297.77,439.65,4734.28,0.161433,1.363313
347,1298.01,279.84,inf,0.166362,1.371540
348,1297.79,174.27,inf,0.158014,1.332041
349,1297.65,59.89,inf,0.152101,1.419161
350,1297.55,341.78,3680.32,0.132039,1.397396
351,1297.43,535.51,inf,0.125951,1.349578
352,1296.93,216.92,305.50,0.126994,1.448483
353,1296.95,201.04,153.24,0.180907,3.288040
354,1297.25,257.88,363.18,0.147812,1.421690
355,1297.22,176.44,248.48,0.146446,1.526391
357,1297.13,175.84,247.64,0.132632,1.076124
362,1296.90,144.38,203.34,0.106035,1.402759
363,1296.92,120.18,169.26,0.135142,1.026901
370,1297.05,137.88,194.19,0.155400,1.459027
400,1299,120
401,1297.89,127.64,179.76,0.164650,1.558371
405,1298.36,128.95,181.61,0.144459,1.296691
407,1298.88,132.91,187.19,0.174706,1.614352
408,1298.08,137.99,194.34,0.146367,1.644325
409,1298.27,121.91,171.69,0.179444,1.283621
410,1298.19,151.80,213.79,0.158444,1.514717
411,1298.10,141.05,198.64,0.159461,1.621152
412,1298.29,148.59,209.27,0.161339,1.691580
413,1298.37,148.33,208.90,0.155661,1.633290
414,1298.29,165.25,232.73,0.152334,1.661658
415,1298.50,169.56,238.80,0.146845,1.476371
417,1297.96,38.35,72.36,0.127534,1.397357
418,1297.84,59.77,75.91,0.130884,1.417756
419,1297.88,56.59,71.86,0.144174,1.476396
420,1294.21,54.55,69.28,0.135003,1.941102
421,1297.96,53.02,67.33,0.136301,0.089769
422,1298.00,54.16,68.77,0.148561,0.682352
423,1294.60,20.06,25.48,0.189422,1.999106
424,1297.54,53.41,67.83,0.150133,1.651043
425,1297.44,77.95,131.54,0.166411,1.874550
426,1297.71,77.43,130.65,0.160982,1.690382
427,1298.00,77.00,129.93,0.113961,0.258987
